Hyderabad,13-04-2015,Moderate
Lucknow,13-04-2015,Moderate
Mumbai,13-04-2015,Moderate
Ahmedabad,14-04-2015,Poor
Bengaluru,14-04-2015,Satisfactory
Chennai,14-04-2015,Poor
Delhi,14-04-2015,Poor
Hyderabad,14-04-2015,Very Poor
Lucknow,14-04-2015,Moderate
Mumbai,14-04-2015,Moderate
Ahmedabad,15-04-2015,Very Poor
Bengaluru,15-04-2015,Moderate
Chennai,15-04-2015,Poor
Delhi,15-04-2015,Very Poor
Hyderabad,15-04-2015,Moderate
Lucknow,15-04-2015,Moderate
Mumbai,15-04-2015,Moderate
Ahmedabad,16-04-2015,Severe
Bengaluru,16-04-2015,Moderate
Chennai,16-04-2015,Poor
Delhi,16-04-2015,Poor
Hyderabad,16-04-2015,Moderate
Lucknow,16-04-2015,Moderate
Mumbai,16-04-2015,Moderate
Ahmedabad,17-04-2015,Severe
Bengaluru,17-04-2015,Poor
Chennai,17-04-2015,Moderate
Delhi,17-04-2015,Poor
Hyderabad,17-04-2015,Moderate
Lucknow,17-04-2015,Moderate
Mumbai,17-04-2015,Moderate
Ahmedabad,18-04-2015,Poor
Bengaluru,18-04-2015,Moderate
Chennai,18-04-2015,Moderate
Delhi,18-04-2015,Very Poor
Hyderabad,18-04-2015,Moderate
Lucknow,18-04-2015,Moderate
Mumbai,18-04-2015,Moderate
Ahmedabad,19-04-2015,Very Poor
Bengaluru,19-04-2015,Moderate
Chennai,19-04-2015,Moderate
Delhi,19-04-2015,Severe
Hyderabad,19-04-2015,Moderate
Lucknow,19-04-2015,Moderate
